노선,역A,역B,인원
7호선,공릉,하계,113192.4
신분당선,논현,신논현,113161.6
우이신설선,성신여대입구,정릉,113146.8
서해선,김포공항,원종,112258.1
6호선,약수,청구,112150.7
수인분당선,미금,정자,111839.7
경의중앙선,가좌,홍대입구,110810.4
9호선,가양,양천향교,110794.8
8호선,가락시장,문정,110641.2
6호선,광흥창,대흥,110460.3
6호선,상수,합정,110444.6
8호선,가락시장,송파,110242.1
1호선,신이문,외대앞,110177.7
신분당선,정자,판교,108759.1
1호선,왕십리,응봉,108461.0
6호선,삼각지,효창공원앞,108217.7
6호선,디지털미디어시티,증산,108101.7
5호선 본선,굽은다리,명일,108070.3
서해선,부천종합운동장,원종,107820.8
수인분당선,미금,오리,107533.0
6호선,광흥창,상수,107351.1
9호선,삼전,종합운동장,107015.9
1호선,옥수,한남,106949.8
6호선,고려대,월곡,105268.2
1호선,서빙고,이촌,105013.5
5호선 본선,발산,우장산,104901.5
3호선,삼송,원흥,104195.1
6호선,디지털미디어시티,월드컵경기장,104183.0
7호선,중계,하계,103314.1
1호선,옥수,응봉,103157.3
1호선,서빙고,한남,102795.2
수인분당선,오리,죽전,102186.8
인천지하철 1호선,동수,부평,102062.6
6호선,공덕,효창공원앞,101546.2
5호선 본선,마곡,발산,101350.7
1호선,종각,종로3가,100794.6
1호선,광운대,석계,100398.4
1호선,석계,신이문,100166.1
신분당선,동천,미금,99843.9
4호선,동작,총신대입구,99500.4
4호선,범계,평촌,98992.5
경의중앙선,가좌,디지털미디어시티,98928.8
3호선,대청,학여울,98659.1
9호선,마곡나루,양천향교,97761.0
6호선,새절,증산,97367.1
인천국제공항선,디지털미디어시티,홍대입구,97315.9
1호선,방학,창동,97185.5
인천지하철 1호선,부평,부평시장,96919.7
우이신설선,북한산보국문,정릉,96804.6
5호선 본선,마곡,송정,96797.4
수인분당선,구성,신갈,96082.2
수인분당선,보정,죽전,96082.2
수인분당선,구성,보정,96082.2
4호선,금정,산본,96021.9
경의중앙선,디지털미디어시티,수색,95893.5
1호선,부천,소사,95730.9
6호선,상월곡,월곡,95529.2
9호선,삼성중앙,선정릉,94787.9
7호선,노원,중계,94186.4
5호선 본선,김포공항,송정,94073.2
5호선 본선,고덕,명일,93634.1
3호선,대청,일원,93549.9
인천지하철 1호선,예술회관,인천시청,93455.5
인천지하철 1호선,예술회관,인천터미널,93455.5
인천지하철 1호선,부평구청,부평시장,92929.6
수인분당선,기흥,신갈,92921.1
9호선,봉은사,삼성중앙,90793.4
9호선,봉은사,종합운동장,90713.9
서해선,부천종합운동장,소사,90622.5
4호선,산본,수리산,90343.3
인천지하철 1호선,동수,부평삼거리,90279.0
인천지하철 1호선,간석오거리,인천시청,90279.0
인천지하철 1호선,간석오거리,부평삼거리,90279.0
신림선,서원,신림,90229.7
7호선,부천종합운동장,춘의,90204.4
6호선,새절,응암,89051.7
인천지하철 1호선,문학경기장,인천터미널,88956.9
8호선,문정,장지,88606.7
6호선,돌곶이,상월곡,88065.3
3호선,가락시장,수서,87706.7
1호선,광운대,월계,87324.9
9호선,삼전,석촌고분,87185.8
신분당선,동천,수지구청,86698.3
6호선,버티고개,약수,86684.0
3호선,원당,원흥,86181.5
우이신설선,북한산보국문,솔샘,86179.4
4호선,사당,총신대입구,86050.2
3호선,수서,일원,84701.8
1호선,부천,중동,84450.9
6호선,역촌,응암,84428.8
경춘선,망우,신내,84073.9
1호선,도봉,방학,83894.7
1호선,망월사,회룡,83672.7
1호선,도봉산,망월사,83672.7
6호선,불광,역촌,83659.1
9호선,고속터미널,사평,83467.7
6호선,버티고개,한강진,83355.5
1호선,시청,종각,83226.9
경의중앙선,강매,한국항공대,83005.7
경의중앙선,능곡,행신,83005.7
경의중앙선,수색,한국항공대,83005.7
경의중앙선,강매,행신,83005.7
인천지하철 1호선,문학경기장,선학,82984.6
경춘선,갈매,신내,82850.1
8호선,몽촌토성,잠실,82026.2
6호선,이태원,한강진,81926.7
9호선,마곡나루,신방화,81770.0
경의중앙선,서강대,홍대입구,81493.5
6호선,녹사평,이태원,81437.1
6호선,녹사평,삼각지,81410.7
경춘선,갈매,별내,81173.7
경의중앙선,능곡,대곡,80620.7
5호선 본선,고덕,상일동,80429.7
1호선,녹천,월계,80130.5
6호선,돌곶이,석계,79720.4
1호선,송내,중동,79578.0
1호선,부개,송내,79578.0
경춘선,사릉,퇴계원,79486.8
경춘선,별내,퇴계원,79486.8
1호선,부개,부평,78991.7
경의중앙선,공덕,신촌(경의),77773.6
1호선,도봉,도봉산,77461.8
경의중앙선,서강대,신촌(경의),77430.9
3호선,원당,화정,76792.7
6호선,석계,태릉입구,76610.3
경의중앙선,청량리,회기,75978.9
9호선,공항시장,신방화,75965.3
인천지하철 1호선,신연수,원인재,75965.1
인천지하철 1호선,선학,신연수,75965.1
9호선,석촌,석촌고분,75792.3
1호선,녹천,창동,75581.3
경의중앙선,공덕,효창공원앞,75376.2
4호선,대야미,수리산,75315.6
우이신설선,삼양사거리,솔샘,74220.0
경의중앙선,서울,효창공원앞,73191.9
3호선,대곡,화정,72816.7
경의중앙선,중랑,회기,72702.5
9호선,공항시장,김포공항,72674.3
인천국제공항선,계양,김포공항,72139.5
인천지하철 1호선,경인교대입구,작전,71910.6
인천지하철 1호선,갈산,작전,71910.6
인천지하철 1호선,갈산,부평구청,71910.6
7호선,신중동,춘의,71424.7
인천지하철 1호선,경인교대입구,계산,71307.3
경의중앙선,망우,상봉,71107.1
8호선,강동구청,몽촌토성,71042.4
4호선,노원,창동,70810.3
인천지하철 1호선,계산,임학,70512.6
5호선 마천지선,강동,둔촌동,70201.7
8호선,강동구청,천호,69940.5
신림선,보라매,보라매공원,69854.1
경춘선,금곡,사릉,69556.0
인천지하철 1호선,박촌,임학,69432.4
경의중앙선,상봉,중랑,68976.1
경의중앙선,곡산,백마,68956.6
인천국제공항선,공덕,서울,68953.5
인천국제공항선,공덕,홍대입구,68400.2
우이신설선,보문,성신여대입구,68309.6
2호선 신정지선,도림천,신도림,68255.8
경의중앙선,곡산,대곡,68212.2
5호선 마천지선,둔촌동,올림픽공원,68107.5
신림선,당곡,신림,67874.6
인천지하철 1호선,귤현,박촌,67772.2
9호선,석촌,송파나루,66399.4
수인분당선,기흥,상갈,66392.3
8호선,복정,장지,66175.5
4호선,대야미,반월,65916.2
인천지하철 1호선,계양,귤현,65875.6
신림선,보라매공원,보라매병원,65875.3
3호선,가락시장,경찰병원,65836.2
7호선,노원,마들,65833.5
신림선,당곡,보라매병원,65508.1
신림선,서울대벤처타운,서원,65039.5
인천지하철 1호선,동춘,원인재,64773.8
인천지하철 1호선,동막,동춘,64773.8
인천지하철 1호선,동막,캠퍼스타운,64773.8
4호선,반월,상록수,64744.6
신분당선,성복,수지구청,64585.7
경의중앙선,백마,풍산,64061.4
서해선,소사,소새울,62997.0
경춘선,망우,상봉,62109.3
1호선,군포,금정,61857.6
9호선,선정릉,언주,61606.2
신분당선,논현,신사,60736.6
5호선 본선,강일,상일동,60646.4
우이신설선,삼양,삼양사거리,60626.3
경의중앙선,서울,청량리,60538.8
신분당선,미금,정자,60414.6
4호선,상록수,한대앞,59478.7
수인분당선,상갈,청명,59075.0
4호선,인덕원,평촌,59041.9
신림선,대방,서울지방병무청,58656.5
9호선,사평,신논현,58194.6
신림선,보라매,서울지방병무청,57801.7
인천지하철 1호선,캠퍼스타운,테크노파크,56608.6
수인분당선,영통,청명,55973.2
의정부,경전철의정부,의정부시청,55430.1
의정부,범골,회룡,55430.1
의정부,의정부시청,흥선,55430.1
의정부,경전철의정부,범골,55430.1
의정부,동오,의정부중앙,54626.4
의정부,의정부중앙,흥선,54626.4
수인분당선,망포,영통,54316.3
수인분당선,망포,매탄권선,54316.3
3호선,대곡,백석,54113.3
3호선,마두,백석,54113.3
경춘선,금곡,평내호평,54053.0
5호선 마천지선,방이,올림픽공원,53646.9
경의중앙선,일산,풍산,52956.3
6호선,태릉입구,화랑대,52755.4
수인분당선,매탄권선,수원시청,52467.9
2호선 성수지선,신설동,용두,52457.3
3호선,경찰병원,오금,52078.9
9호선,송파나루,한성백제,51760.6
6호선,독바위,불광,51358.2
1호선,군포,당정,51350.8
3호선,마두,정발산,51173.2
2호선 성수지선,신답,용답,50995.9
5호선 마천지선,방이,오금,50591.4
우이신설선,삼양,화계,50572.8
2호선 성수지선,신답,용두,49775.6
수인분당선,매교,수원시청,49076.8
7호선,마들,수락산,47764.0
5호선 본선,강일,미사,47543.8
인천지하철 1호선,지식정보단지,테크노파크,46776.1
1호선,오류동,온수,46406.9
2호선 성수지선,성수,용답,45808.6
7호선,부천시청,신중동,45784.0
경의중앙선,일산,탄현,45662.1
3호선,정발산,주엽,45175.7
5호선 본선,미사,하남풍산,44851.9
경강선,성남,이매,44413.7
2호선 신정지선,도림천,양천구청,44275.5
4호선,인덕원,정부과천청사,43945.3
9호선,올림픽공원,한성백제,43415.1
의정부,동오,새말,43310.6
김포도시철도,고촌,김포공항,42600.2
김포도시철도,걸포북변,사우,42600.2
김포도시철도,고촌,풍무,42600.2
김포도시철도,사우,풍무,42600.2
김포도시철도,걸포북변,운양,42349.1
1호선,당정,의왕,42237.7
경강선,성남,판교,41970.2
1호선,성균관대,의왕,41523.1
수인분당선,매교,수원,41374.8
8호선,암사,천호,41359.8
1호선,서울,시청,41335.3
경의중앙선,망우,양원,41291.9
경의중앙선,구리,양원,41291.9
5호선 마천지선,개롱,오금,41198.1
경의중앙선,야당,탄현,40681.8
경의중앙선,야당,운정,40681.8
경의중앙선,금릉,운정,40681.8
경의중앙선,금릉,금촌,40681.8
우이신설선,보문,신설동,40643.7
서해선,소새울,시흥대야,39586.3
서해선,신천,신현,39582.4
서해선,시흥대야,신천,39582.4
신림선,관악산,서울대벤처타운,39409.6
6호선,봉화산,화랑대,39069.6
경의중앙선,금촌,월롱,39048.0
