역명,위도,경도,시도,호선목록,노선수
남동구청,37.448179,126.736581,인천,인천지하철 2호선,1
남동인더스파크,37.407668,126.695613,인천,수인선,1
남부터미널,37.48494,127.016289,서울,3호선,1
남성,37.484688,126.971108,서울,7호선,1
남영,37.540597,126.971171,서울,1호선,1
남위례,37.462839,127.139047,서울,8호선,1
남태령,37.464339,126.989081,서울,4호선,1
남한산성입구,37.451568,127.159845,서울,8호선,1
내방,37.48764,126.993541,서울,7호선,1
노들,37.512726,126.953096,서울,9호선,1
노량진,37.51387,126.941294,서울,1호선|9호선,2
노원,37.655376,127.061869,서울,4호선|7호선,2
녹번,37.600882,126.935758,서울,3호선,1
녹사평,37.53469,126.98665,서울,6호선,1
녹양,37.759416,127.042272,경기,1호선,1
녹천,37.644599,127.051406,서울,1호선,1
논현,37.511112,127.021375,서울,7호선|신분당선,2
능곡,37.618741,126.820745,경기,경의중앙선|서해선,2
능길,37.337488,126.767306,경기,수인선|안산과천선,2
다산,37.62437,127.1498,경기,수도권 광역철도 8호선,1
단대오거리,37.445057,127.156735,서울,8호선,1
달미,37.349,126.809318,경기,서해선,1
달월,37.379993,126.745431,경기,수인선,1
답십리,37.566833,127.05266,서울,5호선,1
당고개,37.66956,127.078404,서울,4호선,1
당곡,37.490039,126.927569,서울,신림선,1
당산,37.53386,126.902116,서울,2호선|9호선,2
당정,37.34338,126.948388,경기,1호선,1
대곡,37.631629,126.810351,경기,경의중앙선|서해선|일산선,3
대공원,37.435724,127.006474,경기,안산과천선,1
대림,37.492705,126.896145,서울,2호선|7호선,2
대모산입구,37.491347,127.072702,서울,분당선,1
대방,37.513116,126.925862,서울,1호선|신림선,2
대성리,37.683909,127.379165,경기,경춘선,1
대야미,37.328304,126.917161,경기,안산과천선,1
대청,37.493607,127.079526,서울,3호선,1
대치,37.494601,127.063449,서울,3호선,1
대화,37.675883,126.747756,경기,일산선,1
대흥,37.547732,126.942214,서울,6호선,1
덕계,37.818761,127.056676,경기,1호선,1
덕소,37.586892,127.208835,경기,경의중앙선,1
덕정,37.843216,127.061511,경기,1호선,1
도곡,37.491022,127.055544,서울,3호선|분당선,2
도농,37.608756,127.161105,경기,경의중앙선,1
도림천,37.514759,126.882586,서울,2호선,1
도봉,37.679441,127.045521,서울,1호선,1
도봉산,37.689367,127.046298,서울,1호선|7호선,2
도심,37.579628,127.222798,경기,경의중앙선,1
도원,37.468604,126.642824,인천,1호선,1
도화,37.466154,126.66846,인천,1호선,1
독립문,37.574534,126.957902,서울,3호선,1
독바위,37.618413,126.933035,서울,6호선,1
독산,37.465994,126.889508,서울,1호선,1
독정,37.584927,126.675981,인천,인천지하철 2호선,1
돌곶이,37.610522,127.056419,서울,6호선,1
동대문,37.571315,127.010393,서울,1호선|4호선,2
동대문역사문화공원,37.565121,127.007363,서울,2호선|4호선|5호선,3
동대입구,37.55816,127.005273,서울,3호선,1
동두천,37.927569,127.054825,경기,1호선,1
동두천중앙,37.901818,127.056528,경기,1호선,1
동막,37.398173,126.673561,인천,인천지하철 1호선,1
동묘앞,37.57277,127.016062,서울,1호선|6호선,2
동백,37.269101,127.152691,경기,에버라인,1
동수,37.485409,126.718464,인천,인천지하철 1호선,1
동암,37.470835,126.703016,인천,1호선,1
동오,37.745191,127.05703,경기,의정부,1
동인천,37.475414,126.632598,인천,1호선,1
동작,37.503222,126.979224,서울,4호선|9호선,2
동천,37.338684,127.102794,경기,신분당선,1
동춘,37.404676,126.680835,인천,인천지하철 1호선,1
둔전,37.267212,127.213639,경기,에버라인,1
둔촌동,37.527787,127.136219,서울,5호선,1
둔촌오륜,37.519339,127.138619,서울,9호선,1
등촌,37.551111,126.864722,서울,9호선,1
디지털미디어시티,37.577441,126.89903,서울,6호선|경의중앙선|인천국제공항선,3
뚝섬,37.54718,127.047413,서울,2호선,1
뚝섬유원지,37.531558,127.066714,서울,7호선,1
마곡,37.562182,126.82693,서울,5호선,1
마곡나루,37.566268,126.827621,서울,9호선|인천국제공항선,2
마두,37.652185,126.777641,경기,일산선,1
마들,37.664985,127.057701,서울,7호선,1
마산,37.640606,126.643944,경기,김포도시철도,1
마석,37.652328,127.311713,경기,경춘선,1
마장,37.566066,127.042921,서울,5호선,1
마전,37.597756,126.667195,인천,인천지하철 2호선,1
마천,37.494972,127.152784,서울,5호선,1
마포,37.539718,126.946043,서울,5호선,1
마포구청,37.563535,126.903326,서울,6호선,1
만수,37.454962,126.731764,인천,인천지하철 2호선,1
망우,37.599638,127.092174,서울,경의중앙선|경춘선,2
망원,37.556031,126.910129,서울,6호선,1
망월사,37.710499,127.047361,경기,1호선,1
망포,37.245793,127.057367,경기,분당선,1
매교,37.265502,127.015657,경기,분당선,1
매봉,37.487114,127.046907,서울,3호선,1
매탄권선,37.252458,127.040824,경기,분당선,1
먹골,37.610638,127.077719,서울,7호선,1
면목,37.588671,127.087503,서울,7호선,1
명동,37.561055,126.988271,서울,4호선,1
명일,37.551317,127.144002,서울,5호선,1
명지대,37.238076,127.190291,경기,에버라인,1
명학,37.384435,126.935579,경기,1호선,1
모란,37.433006,127.129492,경기,8호선|분당선,2
모래내시장,37.455842,126.719578,인천,인천지하철 2호선,1
목동,37.526088,126.864296,서울,5호선,1
몽촌토성,37.517692,127.11274,서울,8호선,1
무악재,37.582658,126.950131,서울,3호선,1
문래,37.517993,126.894766,서울,2호선,1
문산,37.854565,126.787531,경기,경의중앙선,1
문정,37.485931,127.122473,서울,8호선,1
문학경기장,37.434964,126.698373,인천,인천지하철 1호선,1
미금,37.350631,127.108927,경기,분당선|신분당선,2
미사,37.56329,127.192954,서울,5호선,1
미아,37.626435,127.026151,서울,4호선,1
미아사거리,37.613276,127.030083,서울,4호선,1
박촌,37.553525,126.744946,인천,인천지하철 1호선,1
반월,37.312244,126.903684,경기,안산과천선,1
반포,37.508171,127.011717,서울,7호선,1
발곡,37.726983,127.052889,경기,의정부,1
발산,37.562182,126.82693,서울,5호선,1
방배,37.481469,126.997627,서울,2호선,1
방이,37.508752,127.126054,서울,5호선,1
방학,37.667471,127.044295,서울,1호선,1
방화,37.577669,126.812822,서울,5호선,1
백마,37.658346,126.794401,경기,경의중앙선|서해선,2
백석,37.642973,126.788109,경기,일산선,1
백운,37.483301,126.707179,인천,1호선,1
버티고개,37.547933,127.006948,서울,6호선,1
범계,37.389783,126.950752,경기,안산과천선,1
범골,37.728728,127.04372,경기,의정부,1
별내,37.642369,127.127254,경기,경춘선|수도권 광역철도 8호선,2
별내별가람,37.667833,127.116167,경기,진접선,1
병점,37.206821,127.033268,경기,1호선,1
보라매,37.500114,126.920299,서울,7호선|신림선,2
보라매공원,37.495225,126.918259,서울,신림선,1
보라매병원,37.492961,126.923886,서울,신림선,1
보문,37.585402,127.019384,서울,6호선|우이신설선,2
보산,37.914268,127.057134,경기,1호선,1
보정,37.31274,127.108219,경기,분당선,1
보평,37.258964,127.218481,경기,에버라인,1
복정,37.470384,127.126686,서울,8호선|분당선,2
봉은사,37.514219,127.060245,서울,9호선,1
봉천,37.482416,126.941896,서울,2호선,1
봉화산,37.617293,127.091375,서울,6호선,1
부개,37.488479,126.740549,인천,1호선,1
부발,37.260411,127.490303,경기,경강선,1
부천,37.484066,126.782779,경기,1호선,1
부천시청,37.504611,126.763561,경기,도시철도 7호선,1
부천종합운동장,37.505616,126.797424,경기,도시철도 7호선|서해선,2
부평,37.489999,126.72401,인천,1호선|인천지하철 1호선,2
부평구청,37.508146,126.720952,인천,도시철도 7호선|인천지하철 1호선,2
부평삼거리,37.478267,126.710494,인천,인천지하철 1호선,1
부평시장,37.498495,126.722282,인천,인천지하철 1호선,1
북한산보국문,37.61233,127.00816,서울,우이신설선,1
북한산우이,37.66284,127.01272,서울,우이신설선,1
불광,37.610736,126.929674,서울,3호선|6호선,2
불암산,37.67009,127.079004,서울,4호선,1
사가정,37.580912,127.088502,서울,7호선,1
사당,37.47655,126.981688,서울,2호선|4호선,2
사릉,37.651145,127.176839,경기,경춘선,1
사리,37.290809,126.857172,경기,수인선,1
사우,37.620361,126.719722,경기,김포도시철도,1
사평,37.504161,127.015219,서울,9호선,1
산곡,37.508547,126.70351,인천,도시철도 7호선,1
산본,37.358019,126.932969,경기,안산과천선,1
산성,37.456886,127.149927,서울,8호선,1
삼가,37.24206,127.16818,경기,에버라인,1
삼각지,37.53531,126.973675,서울,4호선|6호선,2
삼동,37.408731,127.203447,경기,경강선,1
삼산체육관,37.506431,126.742081,인천,도시철도 7호선,1
삼성,37.508827,127.063203,서울,2호선,1
삼성중앙,37.513011,127.053282,서울,9호선,1
삼송,37.653096,126.895559,경기,일산선,1
삼양,37.62706,127.01817,서울,우이신설선,1
삼양사거리,37.62144,127.02049,서울,우이신설선,1
삼전,37.504531,127.087211,서울,9호선,1
상갈,37.261797,127.108718,경기,분당선,1
상계,37.660576,127.073199,서울,4호선,1
상도,37.50279,126.947949,서울,7호선,1
상동,37.505769,126.753081,경기,도시철도 7호선,1
상록수,37.302845,126.866533,경기,안산과천선,1
상봉,37.595894,127.085705,서울,7호선|경의중앙선|경춘선,3
상수,37.547704,126.92292,서울,6호선,1
상왕십리,37.564504,127.028872,서울,2호선,1
상월곡,37.606392,127.048509,서울,6호선,1
상일동,37.556714,127.166381,서울,5호선,1
상천,37.770305,127.4542,경기,경춘선,1
상현,37.298685,127.06958,경기,신분당선,1
새말,37.748899,127.063869,경기,의정부,1
새절,37.591148,126.913613,서울,6호선,1
샛강,37.51726,126.928902,서울,9호선|신림선,2
서강대,37.552132,126.935389,서울,경의중앙선,1
서구청,37.543839,126.676795,인천,인천지하철 2호선,1
서대문,37.565812,126.966639,서울,5호선,1
서동탄,37.195675,127.051893,경기,1호선,1
서부여성회관,37.500298,126.675875,인천,인천지하철 2호선,1
서빙고,37.51961,126.988358,서울,경의중앙선,1
서울,37.554013,126.97163,서울,1호선|4호선|경의중앙선|인천국제공항선,4
서울대벤처타운,37.472041,126.933977,서울,신림선,1
서울대입구,37.481233,126.952745,서울,2호선,1
서울숲,37.543647,127.044686,서울,분당선,1
서울지방병무청,37.506047,126.922783,서울,신림선,1
서원,37.478273,126.933228,서울,신림선,1
서정리,37.056459,127.052844,경기,1호선,1
서초,37.49191,127.007945,서울,2호선,1
서현,37.384931,127.123249,경기,분당선,1
석계,37.615072,127.065758,서울,1호선|6호선,2
석남,37.50671,126.676258,인천,도시철도 7호선|인천지하철 2호선,2
석바위시장,37.457659,126.692387,인천,인천지하철 2호선,1
석수,37.435161,126.902233,경기,1호선,1
석천사거리,37.456932,126.710383,인천,인천지하철 2호선,1
석촌,37.505237,127.106969,서울,8호선|9호선,2
석촌고분,37.502439,127.096611,서울,9호선,1
선릉,37.504368,127.048558,서울,2호선|분당선,2
선바위,37.451854,127.002164,경기,안산과천선,1
선부,37.33459,126.81,경기,서해선,1
선유도,37.537778,126.893889,서울,9호선,1
선정릉,37.510528,127.043738,서울,9호선|분당선,2
선학,37.426985,126.698872,인천,인천지하철 1호선,1
성균관대,37.300344,126.970861,경기,1호선,1
성남,37.394709,127.11949,경기,경강선,1
성복,37.314043,127.080758,경기,신분당선,1
성수,37.544628,127.055983,서울,2호선,1
성신여대입구,37.592626,127.016949,서울,4호선|우이신설선,2
세류,37.244102,127.013772,경기,1호선,1
세마,37.187288,127.043279,경기,1호선,1
세종대왕릉,37.293636,127.570764,경기,경강선,1
센트럴파크,37.392833,126.635002,인천,인천지하철 1호선,1
소래포구,37.400963,126.733533,인천,수인선,1
소사,37.482755,126.79536,경기,1호선|서해선,2
소새울,37.468505,126.797228,경기,서해선,1
소요산,37.948608,127.061007,경기,1호선,1
솔밭공원,37.65607,127.01326,서울,우이신설선,1
솔샘,37.62037,127.01357,서울,우이신설선,1
송내,37.487626,126.753045,경기,1호선,1
송도,37.429714,126.654486,인천,수인선,1
송도달빛축제공원,37.406875,126.626054,인천,인천지하철 1호선,1
송산,37.73717,127.087276,경기,의정부,1
송정,37.561411,126.812052,서울,5호선,1
송탄,37.075376,127.054397,경기,1호선,1
송파,37.49978,127.11212,서울,8호선,1
송파나루,37.51055,127.112451,서울,9호선,1
수내,37.378435,127.114216,경기,분당선,1
수락산,37.677804,127.055314,서울,7호선,1
수리산,37.350297,126.925537,경기,안산과천선,1
수색,37.580855,126.895681,서울,경의중앙선,1
수서,37.48757,127.101221,서울,3호선|분당선,2
수원,37.266162,126.999952,경기,1호선|분당선,2
수원시청,37.261941,127.030736,경기,분당선,1
수유,37.637127,127.024731,서울,4호선,1
수지구청,37.323009,127.095581,경기,신분당선,1
수진,37.437575,127.140936,서울,8호선,1
숙대입구,37.545124,126.971952,서울,4호선,1
숭실대입구,37.496258,126.953649,서울,7호선,1
숭의,37.460891,126.638035,인천,수인선,1
시민공원,37.458339,126.681009,인천,인천지하철 2호선,1
시우,37.313097,126.795503,경기,서해선,1
시청,37.563562,126.975339,서울,1호선|2호선,2
시청·용인대,37.239442,127.178885,경기,에버라인,1
시흥능곡,37.36999,126.808594,경기,서해선,1
시흥대야,37.450479,126.793142,경기,서해선,1
시흥시청,37.381411,126.805946,경기,서해선,1
신갈,37.286127,127.111311,경기,분당선,1
신검단중앙,37.6026,126.698611,인천,인천지하철 1호선,1
신금호,37.554504,127.020403,서울,5호선,1
신길,37.517324,126.916314,서울,1호선|5호선,2
신내,37.612713,127.103802,서울,6호선|경춘선,2
신논현,37.5045,127.024474,서울,9호선|신분당선,2
신답,37.56147,127.056348,서울,2호선,1
신당,37.565928,127.017823,서울,2호선|6호선,2
신대방,37.487534,126.913279,서울,2호선,1
신대방삼거리,37.499717,126.928218,서울,7호선,1
신도림,37.508899,126.891368,서울,1호선|2호선,2
신둔도예촌,37.315499,127.405251,경기,경강선,1
신림,37.484553,126.929591,서울,2호선|신림선,2
신목동,37.544167,126.883056,서울,9호선,1
신반포,37.503503,126.996044,서울,9호선,1
신방화,37.5675,126.816667,서울,9호선,1
신사,37.516282,127.020004,서울,3호선|신분당선,2
신설동,37.575787,127.024363,서울,1호선|2호선|우이신설선,3
신연수,37.418032,126.693853,인천,인천지하철 1호선,1
신용산,37.52919,126.96858,서울,4호선,1
신원,37.525921,127.372745,경기,경의중앙선,1
신이문,37.601829,127.067347,서울,1호선,1
신정,37.525001,126.856176,서울,5호선,1
신정네거리,37.520218,126.852849,서울,2호선,1
신중동,37.503081,126.776161,경기,도시철도 7호선,1
신천,37.439115,126.786835,경기,서해선,1
신촌,37.555153,126.93689,서울,2호선,1
신촌(경의),37.559768,126.942308,서울,경의중앙선,1
신포,37.468442,126.624509,인천,수인선,1
신풍,37.500107,126.909806,서울,7호선,1
신현,37.40914,126.78788,경기,서해선,1
신흥,37.440952,127.14759,서울,8호선,1
쌍문,37.648274,127.034381,서울,4호선,1
아라,37.592222,126.713333,인천,인천지하철 1호선,1
아시아드경기장,37.551373,126.677075,인천,인천지하철 2호선,1
아신,37.513954,127.443238,경기,경의중앙선,1
아차산,37.552005,127.089609,서울,5호선,1
아현,37.557407,126.956079,서울,2호선,1
안국,37.576562,126.98547,서울,3호선,1
안산,37.327006,126.788748,경기,수인선|안산과천선,2
안암,37.586261,127.02903,서울,6호선,1
안양,37.401929,126.922647,경기,1호선,1
암사,37.550127,127.127521,서울,8호선,1
암사역사공원,37.557167,127.137556,서울,8호선,1
압구정,37.526169,127.028502,서울,3호선,1
압구정로데오,37.527385,127.040555,서울,분당선,1
애오개,37.553592,126.956733,서울,5호선,1
야당,37.712749,126.761535,경기,경의중앙선,1
야목,37.261211,126.884029,경기,수인선,1
야탑,37.41132,127.128661,경기,분당선,1
약수,37.55438,127.010432,서울,3호선|6호선,2
양수,37.545998,127.328948,경기,경의중앙선,1
양원,36.963729,129.091321,서울,경의중앙선,1
양재,37.484557,127.034615,서울,3호선|신분당선,2
양재시민의숲,37.470964,127.03842,서울,신분당선,1
양정,37.604269,127.194602,경기,경의중앙선,1
양주,37.774281,127.044719,경기,1호선,1
양천구청,37.512194,126.865193,서울,2호선,1
양천향교,37.568333,126.841389,서울,9호선,1
양촌,37.641639,126.614694,경기,김포도시철도,1
양평,37.509144,127.189018,경기,5호선|경의중앙선,2
어룡,37.742722,127.085204,경기,의정부,1
어린이대공원,37.547962,127.07465,서울,7호선,1
어정,37.274951,127.14375,경기,에버라인,1
어천,37.250076,126.908805,경기,수인선,1
언주,37.507287,127.033868,서울,9호선,1
여의나루,37.527145,126.932807,서울,5호선,1
여의도,37.521661,126.924242,서울,5호선|9호선,2
여주,37.282881,127.628571,경기,경강선,1
역곡,37.48514,126.811622,경기,1호선,1
역삼,37.500658,127.03643,서울,2호선,1
역촌,37.60605,126.922764,서울,6호선,1
연수,37.417769,126.678991,인천,수인선,1
연신내,37.618726,126.920689,서울,3호선|6호선,2
연천,38.100485,127.07368,경기,1호선,1
염창,37.546944,126.874722,서울,9호선,1
영등포,37.515756,126.907411,서울,1호선,1
영등포구청,37.524987,126.895824,서울,2호선|5호선,2
영등포시장,37.52276,126.905143,서울,5호선,1
영종,37.512098,126.524247,인천,인천국제공항선,1
영통,37.251521,127.071341,경기,분당선,1
예술회관,37.449334,126.700991,인천,인천지하철 1호선,1
오금,37.502258,127.128022,서울,3호선|5호선,2
오남,37.705406,127.191644,경기,진접선,1
오류동,37.4944,126.844551,서울,1호선,1
오리,37.339832,127.108985,경기,분당선,1
오목교,37.524557,126.875049,서울,5호선,1
오목천,37.243011,126.963635,경기,수인선,1
오빈,37.506061,127.474053,경기,경의중앙선,1
오산,37.145472,127.066708,경기,1호선,1
오산대,37.169401,127.063081,경기,1호선,1
오이도,37.361773,126.738437,경기,수인선|안산과천선,2
옥수,37.541084,127.018,서울,3호선|경의중앙선,2
온수,37.492163,126.823346,서울,1호선|7호선,2
올림픽공원,37.516164,127.130645,서울,5호선|9호선,2
완정,37.592867,126.672961,인천,인천지하철 2호선,1
왕길,37.595019,126.642284,인천,인천지하철 2호선,1
왕십리,37.561467,127.03747,서울,2호선|5호선|경의중앙선|분당선,4
외대앞,37.596157,127.063572,서울,1호선,1
용답,37.566412,126.977863,서울,2호선,1
용두,37.574012,127.03811,서울,2호선,1
용마산,37.573752,127.086802,서울,7호선,1
용문,37.482085,127.594251,경기,경의중앙선,1
용산,37.52989,126.964775,서울,1호선,1
용유,37.424805,126.423637,인천,자기부상철도,1
용인중앙시장,37.237911,127.209053,경기,에버라인,1
우장산,37.548864,126.83633,서울,5호선,1
운길산,37.554659,127.310089,경기,경의중앙선,1
운서,37.492845,126.493662,인천,인천국제공항선,1
운양,37.653861,126.683833,경기,김포도시철도,1
운연,37.439533,126.759609,인천,인천지하철 2호선,1
운정,37.725441,126.767076,경기,경의중앙선,1
운천,37.880008,126.769713,경기,경의중앙선,1
워터파크,37.429227,126.434183,인천,자기부상철도,1
원당,37.653103,126.842891,경기,일산선,1
원덕,37.468585,127.547468,경기,경의중앙선,1
원시,37.302654,126.78679,경기,서해선,1
원인재,37.412642,126.687422,인천,수인선|인천지하철 1호선,2
원종,37.524063,126.804839,경기,서해선,1
원흥,37.650709,126.873239,경기,일산선,1
월계,37.633114,127.058835,서울,1호선,1
월곡,37.60192,127.041492,서울,6호선,1
월곶,37.39189,126.742741,경기,수인선,1
월드컵경기장,37.569439,126.899077,서울,6호선,1
월롱,37.796201,126.792574,경기,경의중앙선,1
을지로3가,37.566295,126.992194,서울,2호선|3호선,2
을지로4가,37.566596,126.998124,서울,2호선|5호선,2
을지로입구,37.565998,126.982569,서울,2호선,1
응봉,37.550433,127.034824,서울,경의중앙선,1
응암,37.59859,126.915583,서울,6호선,1
의왕,37.320648,126.948099,경기,1호선,1
의정부,37.73873,127.045891,경기,1호선,1
의정부시청,37.739249,127.034854,경기,의정부,1
의정부중앙,37.743719,127.049633,경기,의정부,1
이대,37.556734,126.945897,서울,2호선,1
이매,37.395291,127.12766,경기,경강선|분당선,2
이수,37.485258,126.981766,서울,7호선,1
이천,37.264222,127.442135,경기,경강선,1
이촌,37.5225,126.973583,서울,4호선|경의중앙선,2
이태원,37.534485,126.994369,서울,6호선,1
인덕원,37.401901,126.976718,경기,안산과천선,1
인천,37.476364,126.61718,인천,1호선|수인선,2
인천가좌,37.489962,126.675284,인천,인천지하철 2호선,1
인천공항1터미널,37.447607,126.452343,인천,인천국제공항선,1
인천공항2터미널,37.46866,126.433415,인천,인천국제공항선,1
인천국제공항,37.447222,126.4525,인천,자기부상철도,1
인천논현,37.400641,126.722495,인천,수인선,1
인천대공원,37.448475,126.753051,인천,인천지하철 2호선,1
인천대입구,37.386239,126.639351,인천,인천지하철 1호선,1
인천시청,37.45726,126.70187,인천,인천지하철 1호선|인천지하철 2호선,2
인천터미널,37.441917,126.699727,인천,인천지하철 1호선,1
인하대,37.448191,126.649832,인천,수인선,1
일산,37.682231,126.769521,경기,경의중앙선|서해선,2
일원,37.48389,127.08416,서울,3호선,1
임진강,37.888364,126.746777,경기,경의중앙선,1
임학,37.545058,126.738642,인천,인천지하철 1호선,1
자양,37.531558,127.066714,서울,7호선,1
작전,37.530271,126.722548,인천,인천지하철 1호선,1
잠실,37.513977,127.102198,서울,2호선|8호선,2
잠실나루,37.520688,127.103836,서울,2호선,1
잠실새내,37.520731,127.103738,서울,2호선,1
잠원,37.512989,127.011613,서울,3호선,1
장기,37.644028,126.669,경기,김포도시철도,1
장기주차장,37.44385,126.455671,인천,자기부상철도,1
장승배기,37.504845,126.939025,서울,7호선,1
장암,37.70015,127.053126,서울,7호선,1
장지,37.478609,127.126229,서울,8호선,1
장한평,37.561438,127.064601,서울,5호선,1
전곡,38.024041,127.071913,경기,1호선,1
전대·에버랜드,37.285413,127.219509,경기,에버라인,1
정릉,37.60278,127.01345,서울,우이신설선,1
정발산,37.659709,126.773254,경기,일산선,1
정부과천청사,37.426445,126.989802,경기,안산과천선,1
정왕,37.351816,126.742844,경기,수인선|안산과천선,2
정자,37.367124,127.108238,경기,분당선|신분당선,2
제기동,37.578116,127.034902,서울,1호선,1
제물포,37.466809,126.657165,인천,1호선,1
종각,37.570203,126.983116,서울,1호선,1
종로3가,37.571504,126.99126,서울,1호선|3호선|5호선,3
종로5가,37.570971,127.0019,서울,1호선,1
종합운동장,37.511082,127.075279,서울,2호선|9호선,2
주안,37.465138,126.679871,인천,1호선|인천지하철 2호선,2
