역명,내국인,장기외국,단기외국,전체,단기비중,외국인비중
사당,27058.615305237872,827.8911656639949,1020.7009657183535,28907.20743662022,3.53,6.39
사릉,6640.461129967003,138.63855018347604,292.68138372067165,7071.781063871151,4.14,6.1
사평,6531.878850056898,353.9972026594786,367.90150088783577,7253.777553604213,5.07,9.95
산본,4975.307294276164,210.1022814819719,367.08211111196795,5552.491686870103,6.61,10.4
삼각지,20816.91740891901,1037.9594033852047,1806.9460234428964,23661.82283574711,7.64,12.02
삼성,20695.85085928049,892.6538689028588,1408.9490278139729,22997.453755997325,6.13,10.01
삼성중앙,16336.196031235331,796.6394600959802,1203.8627678350683,18336.69825916638,6.57,10.91
삼송,12381.193713534283,253.0089365676078,605.2911343497539,13239.493784451646,4.57,6.48
삼양,5367.633918789711,229.90525285143588,130.9902847899466,5728.529456431093,2.29,6.3
삼양사거리,7055.507809406883,255.32644545712154,168.17190218094493,7479.00615704495,2.25,5.66
삼전,11465.02619084444,380.35067160010817,497.47550530163716,12342.852367746187,4.03,7.11
상갈,3776.149875543888,92.39504466098238,210.0932965735201,4078.6382167783904,5.15,7.42
상계,11604.134384625984,138.4806236938912,262.84075596348674,12005.455764283362,2.19,3.34
상도,10430.623087858798,468.6428885097241,320.4402571448303,11219.706233513352,2.86,7.03
상록수,4606.068580145392,319.99270651138875,429.89674356086107,5355.958030217642,8.03,14.0
상봉,21403.205774434322,802.5132990321152,630.3790363950172,22836.098109861454,2.76,6.27
상수,5061.482115219451,329.49865333502686,583.2938315480358,5974.274600102513,9.76,15.28
상왕십리,5593.0765038120835,267.78807592993815,271.02110253694656,6131.885682278968,4.42,8.79
상월곡,6579.927766393556,302.8516110526859,189.07010191313645,7071.849479359379,2.67,6.96
상일동,10973.60420956998,143.90672304542892,569.7413149502829,11687.252247565692,4.87,6.11
새말,6879.962215075647,280.34389080309876,318.04294702356435,7478.349052902309,4.25,8.0
새절,10351.649875435505,235.25158070632096,332.11742699029764,10919.018883132125,3.04,5.2
샛강,11496.865440772615,380.2565094669413,689.4219618927991,12566.543912132354,5.49,8.51
서강대,2854.661003293801,206.15017070633587,254.28206002820164,3315.0932340283384,7.67,13.89
서대문,14093.766841589986,474.95858620969796,1069.3272714596872,15638.052699259371,6.84,9.88
서빙고,6605.510245698478,244.99307055809118,514.9899532613232,7365.493269517892,6.99,10.32
서울,53742.41382767665,2453.7646278542093,6559.251812016482,62755.430267547345,10.45,14.36
서울대벤처타운,9982.724832397362,649.343353406092,297.73645452493184,10929.804640328384,2.72,8.67
서울대입구,19402.903184409537,889.8775935669964,565.9544939050054,20858.735271881542,2.71,6.98
서울숲,10886.972632152203,467.6145145626792,1066.291001886578,12420.878148601461,8.58,12.35
서울지방병무청,3356.3173459199406,126.15799884603253,108.20140826949469,3590.6767530354678,3.01,6.53
서원,6916.42387511443,509.10931117825993,251.49722399069358,7677.030410283384,3.28,9.91
서초,18987.9493687316,583.7771003740269,768.0385548455373,20339.765023951164,3.78,6.65
서현,8456.42974463748,220.78437337368948,258.9651296713952,8936.179247682565,2.9,5.37
석계,7237.04548828622,276.54766109375515,252.768054821693,7766.3612042016675,3.25,6.82
석수,9040.748413275094,284.2982833096742,318.117301030458,9643.163997615226,3.3,6.25
석촌,19341.299933131104,594.4854234668401,695.2831627552305,20631.068519353175,3.37,6.25
석촌고분,7788.81223470843,225.36068257790475,290.8838716672814,8305.056788953616,3.5,6.22
선릉,47233.84692582098,1876.6825703724774,1976.3481647743847,51086.87766096784,3.87,7.54
선유도,7633.184981952558,200.84351175310283,360.2661955284249,8194.294689234086,4.4,6.85
선정릉,26655.998149220868,1174.5091791053724,1217.2363121763165,29047.743640502555,4.19,8.23
선학,9685.555814292451,390.07007377931467,248.99590604719364,10324.621794118959,2.41,6.19
성균관대,4573.023349317077,244.30210821750217,162.86807214500146,4980.193529679581,3.27,8.18
성남,5272.7228072990265,137.66268225912893,161.4690107701061,5571.854500328262,2.9,5.37
성복,11843.605405378548,212.14860717932368,320.083863463541,12375.837876021413,2.59,4.3
성수,24594.530306902594,1502.714251679287,4466.648261716701,30563.892820298584,14.61,19.53
성신여대입구,17927.028828241233,1183.144565286941,805.669149413273,19915.842542941446,4.05,9.99
센트럴파크,7547.318118875045,375.6792601784612,299.2423544278652,8222.23973348137,3.64,8.21
소사,19936.813582270304,1656.4014143204975,757.2844386572305,22350.49943524803,3.39,10.8
소새울,3546.0397380140835,294.6140421610117,134.6935758503708,3975.347356025466,3.39,10.8
솔밭공원,4583.065951369907,125.6017944719837,92.22375099709599,4800.891496838987,1.92,4.54
솔샘,7100.86430421677,214.55309927957822,167.95783203368092,7483.375235530029,2.24,5.11
송산,4936.0526827758495,201.13369391277104,228.18101216509965,5365.3673888537205,4.25,8.0
송파,5945.621300261212,164.41728161117015,198.89893213035396,6308.937514002737,3.15,5.76
송파나루,7903.0847961580785,259.080828160306,348.5618960198899,8510.727520338274,4.1,7.14
수내,11387.769882363433,297.3171555284017,348.732904228802,12033.819942120637,2.9,5.37
수락산,9717.9296045613,92.70616771170515,272.00719362041485,10082.64296589342,2.7,3.62
수리산,10146.592581927673,428.4805188181257,748.6236337305321,11323.69673447633,6.61,10.4
수서,24302.563392363976,449.5170072886791,1461.4088127701114,26213.489212422766,5.58,7.29
수원,19672.697695625306,1415.7198038734712,679.1631008861586,21767.580600384936,3.12,9.62
수원시청,4934.662051250008,229.48268865467594,204.74799339368127,5368.892733298365,3.81,8.09
수유,13111.064220512746,857.0128019180986,418.10245034696453,14386.17947277781,2.91,8.86
수지구청,11191.787769400084,200.47292237941025,302.46791797595233,11694.728609755446,2.59,4.3
수진,8677.43251146953,367.6738718656047,253.08387955377202,9298.190262888907,2.72,6.68
숙대입구,7631.830130315085,400.00004255677845,1192.0446339793616,9223.874806851225,12.92,17.26
숭실대입구,13484.921163335017,544.5162088406599,395.0679224485651,14424.505294624241,2.74,6.51
시민공원,4630.586333945145,215.7432445542884,100.71309356767696,4947.04267206711,2.04,6.4
시청,33860.17183627725,1296.8251457575225,3192.8796668625387,38349.87664889731,8.33,11.71
시흥능곡,4325.322420328908,341.5022978747842,392.02038927637943,5058.845107480071,7.75,14.5
시흥시청,5572.908236747337,440.0044167227206,505.09382748051945,6518.006480950577,7.75,14.5
신갈,2991.105299182845,73.18653041118893,166.41584508436318,3230.7076746783973,5.15,7.42
신금호,5165.246083217062,151.34843775752609,254.0621261147639,5570.656647089351,4.56,7.28
신길,17165.073676581425,899.048000817025,1057.705842245451,19121.8275196439,5.53,10.23
신내,21834.311000508147,348.33644564885617,1458.584488614825,23641.23193477183,6.17,7.64
신논현,31184.16717952702,1752.2775704766796,1685.4797808662972,34621.92453087,4.87,9.93
신답,2810.928562828554,168.67459137727138,286.5296844513467,3266.132838657172,8.77,13.94
신당,11265.673048119637,859.0921525596291,820.0976130658113,12944.862813745078,6.34,12.97
신대방,15118.751061912573,1655.885504322339,589.9081632533833,17364.544729488294,3.4,12.93
신대방삼거리,6609.92457403185,211.92006868754012,154.29235943243916,6976.13700215183,2.21,5.25
신도림,29726.921834147677,2510.8194402676418,1465.5895789300725,33703.33085334539,4.35,11.8
신림,29420.363463207086,2325.0392048449016,1304.6114216533422,33050.01408970533,3.95,10.98
신목동,10707.22179729344,229.15389742779786,458.8400622568097,11395.215756978047,4.03,6.04
신반포,10681.963923602441,450.96864549926005,590.6238802619008,11723.556449363603,5.04,8.88
신방화,4541.969740877288,93.10550283900359,201.65335621399612,4836.728599930288,4.17,6.09
신사,21548.42358180613,1181.3691503205253,1401.90623130212,24131.69896342878,5.81,10.7
신설동,13932.81651319165,1047.1054120728745,1096.961592386297,16076.883517650822,6.82,13.34
신용산,18227.508775214534,801.7695665340091,981.3820773844392,20010.660419132982,4.9,8.91
신이문,5216.63957752519,368.15448072651884,316.94355709197964,5901.737615343689,5.37,11.61
신정,10726.718233718031,296.31003059531656,380.8292226551068,11403.857486968454,3.34,5.94
신정네거리,9283.26120667524,171.37600696210094,362.81601560601626,9817.453229243358,3.7,5.44
신중동,15585.506421405713,802.211433876764,533.1367089318048,16920.85456421428,3.15,7.89
신촌,10757.325523618327,1023.1283770579543,1127.340694178009,12907.79459485429,8.73,16.66
신촌(경의),6510.6164331824575,738.0679793772058,790.8569231018852,8039.541335661549,9.84,19.02
신풍,5848.131311007768,809.0747657909925,280.04224089575297,6937.248317694513,4.04,15.7
신현,4851.4720770231315,383.0440141506873,439.7073298534517,5674.22342102727,7.75,14.5
신흥,9643.699143091391,300.2253536431159,247.597854735299,10191.522351469806,2.43,5.38
쌍문,13521.625141595472,445.89057836905977,321.83479659117705,14289.350516555709,2.25,5.37
아차산,10436.097764316883,381.29496100978696,361.9501161036262,11179.342841430296,3.24,6.65
아현,10252.151511878697,385.19356872028686,769.7778890398936,11407.122969638878,6.75,10.13
안국,21962.451132140097,926.9035709411841,2430.4973107777505,25319.852013859032,9.6,13.26
안암,4303.775056810497,305.972210780654,195.46006529911844,4805.207332890269,4.07,10.44
안양,11111.262762585784,432.3383288966749,346.41663291944894,11890.017724401907,2.91,6.55
암사,8491.264370940411,187.5676048303874,233.8324591140426,8912.66443488484,2.62,4.73
암사역사공원,6246.327240206508,103.81228868278467,178.56533110180985,6528.704859991102,2.74,4.33
