역명,시도,호선목록,노선수,위도,경도,x,y,원수,원id,등급,회수일수,하루승차,첨두비중,단기외국인비중,관광명물,승하차출처
강동,서울,5호선,1,37.53581,127.13249,1995.92,1365.99,1,647,B,3.0,18036,0.131,3.3,,실적
강동구청,서울,8호선,1,37.530348,127.120461,1913.28,1335.51,1,88,C,2.0,10214,0.1228,3.06,,실적
강매,경기,경의중앙선,1,37.612396,126.844537,519.99,722.84,1,371,D,1.5,2954,0.2075,,,실적
강변,서울,2호선,1,37.535161,127.094684,1796.86,1332.19,1,259,B,3.0,27068,0.1206,3.6,,실적
강일,서울,5호선,1,37.557521,127.176018,2203.53,1158.32,1,151,D,1.5,5869,0.1647,11.5,Y,실적
개롱,서울,5호선,1,37.498097,127.134817,2059.85,1729.41,1,139,D,1.5,6228,0.1154,3.49,,실적
개봉,서울,1호선,1,37.494698,126.858504,707.38,1642.22,1,198,B,3.0,21856,0.155,2.55,,실적
개포동,서울,분당선,1,37.489112,127.066027,1703.11,1970.62,1,414,D,1.5,3703,0.0954,3.22,,실적
개화,서울,9호선,1,37.578591,126.797833,313.84,956.69,1,111,E,1.0,2377,0.1722,21.05,,실적
개화산,서울,5호선,1,37.572458,126.806838,372.83,869.12,1,126,D,1.5,5846,0.131,15.36,,실적
거여,서울,5호선,1,37.493208,127.143983,2101.69,1729.41,1,140,C,2.0,9546,0.151,3.05,,실적
건대입구,서울,2호선|7호선,2,37.540645,127.070167,1790.97,1237.42,1,627,S,8.0,50496,0.0828,7.99,,실적
걸포북변,경기,김포도시철도,1,37.631639,126.70575,227.01,791.65,1,488,E,1.0,625,0.2835,,,실적
검단사거리,인천,인천지하철 2호선,1,37.601693,126.656545,129.99,873.54,1,458,E,1.0,,,,,
검단오류,인천,인천지하철 2호선,1,37.595016,126.62801,129.99,802.66,1,457,E,1.0,,,,,
검단호수공원,인천,인천지하철 1호선,1,37.6025,126.688056,236.79,878.96,1,681,E,1.0,,,,,
검바위,인천,인천지하철 2호선,1,37.561091,126.677529,129.99,1090.83,1,463,E,1.0,,,,,
검암,인천,인천국제공항선|인천지하철 2호선,2,37.568883,126.674609,129.99,1025.95,1,603,D,1.5,5835,0.184,,,실적
경기광주,경기,경강선,1,37.398974,127.253201,2167.34,2097.71,1,271,C,2.0,8205,0.1892,2.78,,실적
경기도청북부청사,경기,의정부,1,37.750732,127.07148,2152.7,203.11,1,368,D,1.5,7317,0.2242,4.25,,실적
경마공원,경기,안산과천선,1,37.443987,127.007899,1245.92,2004.94,1,37,D,1.5,5072,0.3743,3.05,,실적
경복궁,서울,3호선,1,37.575844,126.973576,1154.07,652.84,1,61,B,3.0,24462,0.1615,8.55,,실적
경인교대입구,인천,인천지하철 1호선,1,37.538272,126.722603,236.79,1281.3,1,387,D,1.5,3372,0.2128,,,실적
경전철의정부,경기,의정부,1,37.7373,127.043321,1869.22,220.49,1,362,E,1.0,,,,,
경찰병원,서울,3호선,1,37.495754,127.124198,1979.3,1774.62,1,59,D,1.5,7295,0.1174,3.21,,실적
계산,인천,인천지하철 1호선,1,37.543243,126.728436,236.79,1232.93,1,388,D,1.5,6454,0.1986,4.33,,실적
계양,인천,인천국제공항선|인천지하철 1호선,2,37.571654,126.736319,236.79,1025.65,1,604,C,2.0,8986,0.1871,4.33,,실적
고덕,서울,5호선,1,37.555002,127.154214,2137.87,1223.98,1,143,C,2.0,9954,0.0942,2.36,,실적
고려대,서울,6호선,1,37.59034,127.03626,1572.22,642.34,1,298,D,1.5,7888,0.1108,3.66,,실적
고색,경기,수인선,1,37.249829,126.98059,1146.82,2296.1,1,433,D,1.5,5414,0.1332,,,실적
고속터미널,서울,3호선|7호선|9호선,3,37.504758,127.004672,1418.42,1594.87,3,571|572|573,S,8.0,86610,0.1025,4.92,,실적
고잔,경기,수인선|안산과천선,2,37.316821,126.823094,793.3,2289.77,1,582,C,2.0,8317,0.1091,,,실적
고진,경기,에버라인,1,37.244638,127.214184,2197.89,2401.84,1,289,E,1.0,884,0.1926,,,실적
고촌,경기,김포도시철도,1,37.60125,126.770361,316.72,881.36,1,491,E,1.0,,,,,
곡산,경기,경의중앙선|서해선,2,37.645729,126.801877,515.22,474.45,1,599,E,1.0,560,0.1119,,,실적
곤제,경기,의정부,1,37.750543,127.083865,2223.88,215.09,1,5,E,1.0,,,,,
곤지암,경기,경강선,1,37.350525,127.346186,2262.14,2175.63,1,273,E,1.0,2065,0.1164,,,실적
공덕,서울,5호선|6호선|경의중앙선|인천국제공항선,4,37.543255,126.951621,985.42,1263.35,4,530|531|532|533,A,5.0,39507,0.1508,7.08,,실적
공릉,서울,7호선,1,37.625642,127.072969,1925.12,528.75,1,342,C,2.0,11671,0.1195,2.59,,실적
공항시장,서울,9호선,1,37.563726,126.810678,419.5,956.58,1,110,D,1.5,2767,0.1414,,,실적
공항화물청사,인천,인천국제공항선,1,37.459026,126.477433,52.92,2048.5,1,479,E,1.0,1853,0.2283,,,실적
과천,경기,안산과천선,1,37.432805,126.996404,1213.07,2066.61,1,39,D,1.5,5091,0.1297,3.05,,실적
관악,경기,1호선,1,37.419578,126.908476,833.44,1946.25,1,219,D,1.5,6795,0.1556,3.04,,실적
관악산,서울,신림선,1,37.469169,126.944955,1093.88,1934.8,1,169,D,1.5,3458,0.1071,3.84,,실적
광교,경기,신분당선,1,37.301735,127.044856,1454.1,2229.26,1,190,E,1.0,870,0.2911,,,실적
광교중앙,경기,신분당선,1,37.287738,127.052625,1537.88,2229.32,1,189,B,3.0,23952,0.1637,4.09,,실적
광나루,서울,5호선,1,37.545301,127.103478,1995.92,1115.77,1,136,C,2.0,10591,0.1036,3.3,,실적
광명,경기,1호선,1,37.415995,126.884523,,,0,,D,1.5,3721,0.1015,,,실적
광명사거리,서울,7호선,1,37.47927,126.854854,680.08,1702.41,1,163,B,3.0,21952,0.1369,3.12,,실적
광운대,서울,1호선|경의중앙선|경춘선,3,37.623702,127.061928,1757.43,525.26,1,357,D,1.5,7787,0.1434,2.89,,실적
광화문,서울,5호선,1,37.570545,126.976568,985.42,784.64,1,129,A,5.0,32788,0.2191,7.67,,실적
광흥창,서울,6호선,1,37.547464,126.931971,872.61,1283.08,1,27,C,2.0,9431,0.1142,6.19,,실적
교대,서울,2호선|3호선,2,37.493509,127.014214,1431.54,1851.56,1,650,A,5.0,44156,0.1577,4.09,,실적
구래,경기,김포도시철도,1,37.645354,126.6285,107.39,672.03,1,483,C,2.0,9364,0.1913,3.92,,실적
구로,서울,1호선,1,37.503178,126.882037,773.43,1642.22,1,615,B,3.0,16104,0.1066,5.71,,실적
구로디지털단지,서울,2호선,1,37.485005,126.902626,931.43,1744.25,1,248,S,8.0,54430,0.1223,3.22,,실적
구룡,서울,분당선,1,37.486985,127.059496,1628.37,1970.62,1,413,D,1.5,3206,0.105,2.79,,실적
구리,경기,경의중앙선,1,37.60326,127.143373,2137.26,713.24,1,309,D,1.5,7031,0.1237,2.33,,실적
구반포,서울,9호선,1,37.501389,126.987222,1319.85,1503.53,1,75,D,1.5,2652,0.2543,4.2,,실적
구산,서울,6호선,1,37.611223,126.917246,914.79,548.29,1,6,D,1.5,7844,0.1621,2.79,,실적
구성,경기,분당선,1,37.299013,127.105664,1811.2,2296.17,1,424,D,1.5,7220,0.1355,,,실적
구의,서울,2호선,1,37.536857,127.085024,1794.62,1284.03,1,260,A,5.0,28581,0.1502,4.21,,실적
구일,서울,1호선,1,37.495973,126.869201,744.74,1642.22,1,197,C,2.0,7839,0.126,5.02,,실적
구파발,서울,3호선,1,37.636612,126.918827,816.38,522.84,1,66,B,3.0,21927,0.1299,3.93,,실적
국수,경기,경의중앙선,1,37.516171,127.399402,2433.78,783.87,1,318,E,1.0,661,0.111,,,실적
국제업무지구,인천,인천지하철 1호선,1,37.400421,126.630105,321.79,2361.57,1,408,D,1.5,7142,0.1103,3.64,,실적
국회의사당,서울,9호선,1,37.528105,126.917874,903.22,1457.37,1,70,B,3.0,16294,0.2316,5.84,,실적
군자,서울,5호선|7호선,2,37.557126,127.079522,1929.87,972.26,1,590,B,3.0,27009,0.1274,3.37,,실적
군포,경기,1호선,1,37.353732,126.948517,1016.01,2128.79,1,222,D,1.5,6134,0.1683,4.44,,실적
굴포천,인천,도시철도 7호선,1,37.50695,126.731481,275.8,1456.68,1,159,C,2.0,12326,0.1852,2.64,,실적
굽은다리,서울,5호선,1,37.545442,127.142844,2072.2,1289.65,1,145,C,2.0,9575,0.1326,2.73,,실적
귤현,인천,인천지하철 1호선,1,37.566362,126.742498,236.79,1077.04,1,391,C,2.0,8504,0.1935,4.33,,실적
금곡,경기,경춘선,1,37.637414,127.207931,2320.27,631.6,1,333,E,1.0,1561,0.1095,4.14,,실적
금릉,경기,경의중앙선,1,37.751295,126.765401,361.15,289.23,1,377,D,1.5,4755,0.1207,,,실적
금정,경기,1호선|안산과천선,2,37.371957,126.943511,961.49,2066.45,1,666,A,5.0,26943,0.1156,2.52,,실적
금천구청,서울,1호선,1,37.45576,126.894344,773.42,1832.91,1,614,C,2.0,9829,0.1378,3.08,,실적
금촌,경기,경의중앙선,1,37.766106,126.774515,315.45,289.23,1,378,D,1.5,6338,0.0987,,,실적
금호,서울,3호선,1,37.548269,127.015785,1431.62,1218.62,1,50,D,1.5,7714,0.1604,4.38,,실적
기흥,경기,분당선|에버라인,2,37.275555,127.116495,1714.49,2301.54,1,662,C,2.0,9846,0.1273,5.15,,실적
길동,서울,5호선,1,37.538022,127.140085,2039.37,1322.48,1,146,C,2.0,8951,0.1163,3.09,,실적
길음,서울,4호선,1,37.604087,127.025353,1527.97,573.53,1,345,B,3.0,20129,0.1498,2.49,,실적
김량장,경기,에버라인,1,37.237324,127.198611,2106.27,2401.84,1,287,E,1.0,765,0.2005,,,실적
김포공항,서울,5호선|9호선|김포도시철도|서해선|인천국제공항선,5,37.562154,126.802068,372.83,942.51,5,537|538|539|540|541,A,5.0,32200,0.1037,4.95,,실적
까치산,서울,2호선|5호선,2,37.53181,126.846706,577.55,1323.66,1,608,B,3.0,26669,0.1832,2.73,,실적
까치울,경기,도시철도 7호선,1,37.506236,126.81095,577.98,1600.08,1,155,E,1.0,474,0.3715,,,실적
낙성대,서울,2호선,1,37.47693,126.963783,1186.49,1863.3,1,252,A,5.0,27593,0.1545,3.0,,실적
남구로,서울,7호선,1,37.486181,126.887372,827.62,1709.29,1,161,C,2.0,14386,0.1659,3.55,,실적
남동구청,인천,인천지하철 2호선,1,37.448179,126.736581,440.06,1931.46,1,474,C,2.0,12933,0.1387,2.41,,실적
남동인더스파크,인천,수인선,1,37.407668,126.695613,413.48,2116.29,1,438,E,1.0,2089,0.2639,,,실적
남부터미널,서울,3호선,1,37.48494,127.016289,1461.52,1919.27,1,53,A,5.0,30090,0.1556,3.38,,실적
남성,서울,7호선,1,37.484688,126.971108,1210.81,1709.29,1,175,C,2.0,10666,0.1675,2.77,,실적
남영,서울,1호선,1,37.540597,126.971171,1215.12,1213.37,1,195,C,2.0,8902,0.1327,11.76,Y,실적
남위례,서울,8호선,1,37.462839,127.139047,2040.74,1933.62,1,97,D,1.5,7728,0.1269,,,실적
남태령,서울,4호선,1,37.464339,126.989081,1245.92,1936.34,1,35,E,1.0,1360,0.1298,2.76,,실적
남한산성입구,서울,8호선,1,37.451568,127.159845,2089.65,1982.62,1,99,C,2.0,11243,0.1684,2.26,,실적
내방,서울,7호선,1,37.48764,126.993541,1355.04,1673.45,1,177,C,2.0,14251,0.1537,3.46,,실적
노들,서울,9호선,1,37.512726,126.953096,1178.23,1457.37,1,71,D,1.5,4842,0.1644,3.85,,실적
노량진,서울,1호선|9호선,2,37.51387,126.941294,1148.33,1463.02,1,621,A,5.0,34943,0.1154,4.06,,실적
노원,서울,4호선|7호선,2,37.655376,127.061869,1925.12,412.72,1,567,A,5.0,40801,0.0778,3.12,,실적
녹번,서울,3호선,1,37.600882,126.935758,1036.22,535.19,1,65,C,2.0,14263,0.1766,2.58,,실적
녹사평,서울,6호선,1,37.53469,126.98665,1290.4,1266.1,1,20,D,1.5,5308,0.1215,10.71,Y,실적
녹양,경기,1호선,1,37.759416,127.042272,1989.18,174.92,1,11,D,1.5,4214,0.1271,,,실적
녹천,서울,1호선,1,37.644599,127.051406,1757.45,454.42,1,359,D,1.5,4259,0.1634,3.42,,실적
논현,서울,7호선|신분당선,2,37.511112,127.021375,1506.97,1528.54,1,625,B,3.0,17857,0.1857,5.1,,실적
능곡,경기,경의중앙선|서해선,2,37.618741,126.820745,516.81,589.7,1,498,D,1.5,4194,0.153,,,실적
능길,경기,수인선|안산과천선,2,37.337488,126.767306,603.6,2289.77,1,580,D,1.5,5713,0.1295,8.22,,실적
다산,경기,수도권 광역철도 8호선,1,37.62437,127.1498,2175.45,671.6,1,93,E,1.0,1406,0.2819,,,실적
단대오거리,서울,8호선,1,37.445057,127.156735,2115.11,2008.11,1,100,C,2.0,11169,0.1595,2.28,,실적
달미,경기,서해선,1,37.349,126.809318,710.28,2155.76,1,210,E,1.0,,,,,
달월,경기,수인선,1,37.379993,126.745431,413.48,2264.33,1,443,E,1.0,90,0.307,7.75,,실적
답십리,서울,5호선,1,37.566833,127.05266,1836.05,972.26,1,133,C,2.0,15461,0.1714,5.17,,실적
당고개,서울,4호선,1,37.66956,127.078404,,,0,,D,1.5,5178,0.2219,,,실적
당곡,서울,신림선,1,37.490039,126.927569,1007.14,1776.78,1,176,D,1.5,4753,0.1372,3.57,,실적
당산,서울,2호선|9호선,2,37.53386,126.902116,743.69,1339.47,1,673,A,5.0,36765,0.1149,3.6,,실적
당정,경기,1호선,1,37.34338,126.948388,1048.65,2161.44,1,223,D,1.5,5471,0.1452,5.35,,실적
대곡,경기,경의중앙선|서해선|일산선,3,37.631629,126.810351,509.33,523.32,1,674,C,2.0,11607,0.1261,,,실적
대공원,경기,안산과천선,1,37.435724,127.006474,1245.92,2041.31,1,38,D,1.5,4023,0.167,3.05,,실적
대림,서울,2호선|7호선,2,37.492705,126.896145,888.51,1709.29,1,616,A,5.0,32685,0.1235,4.56,,실적
대모산입구,서울,분당선,1,37.491347,127.072702,1774.02,1970.62,1,415,D,1.5,5452,0.1399,3.76,,실적
대방,서울,1호선|신림선,2,37.513116,126.925862,1063.98,1536.33,1,670,C,2.0,12904,0.1103,3.88,,실적
대성리,경기,경춘선,1,37.683909,127.379165,2433.37,556.45,1,329,E,1.0,837,0.175,,,실적
대야미,경기,안산과천선,1,37.328304,126.917161,933.47,2178.48,1,46,D,1.5,4938,0.1327,6.61,,실적
대청,서울,3호선,1,37.493607,127.079526,1758.43,1919.27,1,57,C,2.0,10134,0.1222,3.68,,실적
대치,서울,3호선,1,37.494601,127.063449,1663.03,1919.27,1,55,C,2.0,12631,0.1154,3.96,,실적
대화,경기,일산선,1,37.675883,126.747756,282.02,466.07,1,500,C,2.0,10334,0.1434,3.63,,실적
대흥,서울,6호선,1,37.547732,126.942214,930.44,1283.08,1,28,C,2.0,9161,0.106,6.63,,실적
덕계,경기,1호선,1,37.818761,127.056676,2029.66,134.45,1,13,D,1.5,6358,0.1663,,,실적
덕소,경기,경의중앙선,1,37.586892,127.208835,2264.98,713.24,1,312,D,1.5,5208,0.1572,,,실적
덕정,경기,1호선,1,37.843216,127.061511,2049.9,114.21,1,14,D,1.5,5667,0.1262,,,실적
도곡,서울,3호선|분당선,2,37.491022,127.055544,1608.73,1913.82,1,654,C,2.0,12901,0.1081,3.16,,실적
도농,경기,경의중앙선,1,37.608756,127.161105,2179.58,713.24,1,310,C,2.0,8840,0.1702,,,실적
도림천,서울,2호선,1,37.514759,126.882586,598.4,1420.86,1,265,E,1.0,1256,0.1021,4.32,,실적
도봉,서울,1호선,1,37.679441,127.045521,1808.62,355.49,1,8,D,1.5,5692,0.1155,2.75,,실적
도봉산,서울,1호선|7호선,2,37.689367,127.046298,1837.56,326.27,1,564,B,3.0,15715,0.148,2.37,,실적
도심,경기,경의중앙선,1,37.579628,127.222798,2307.68,713.24,1,313,D,1.5,2732,0.1971,,,실적
도원,인천,1호선,1,37.468604,126.642824,224.02,1908.38,1,451,D,1.5,3204,0.0917,,,실적
도화,인천,1호선,1,37.466154,126.66846,224.02,1845.53,1,449,D,1.5,3727,0.1245,2.04,,실적
독립문,서울,3호선,1,37.574534,126.957902,1121.49,620.3,1,62,D,1.5,7575,0.0904,5.05,,실적
독바위,서울,6호선,1,37.618413,126.933035,939.07,480.37,1,30,D,1.5,2516,0.1651,2.95,,실적
독산,서울,1호선,1,37.465994,126.889508,773.88,1784.45,1,216,B,3.0,15047,0.1376,3.42,,실적
독정,인천,인천지하철 2호선,1,37.584927,126.675981,129.99,979.86,1,461,E,1.0,,,,,
돌곶이,서울,6호선,1,37.610522,127.056419,,,0,,C,2.0,11580,0.1602,2.93,,실적
동대문,서울,1호선|4호선,2,37.571315,127.010393,1365.78,741.09,1,566,A,5.0,34426,0.1193,7.99,,실적
동대문역사문화공원,서울,2호선|4호선|5호선,3,37.565121,127.007363,1365.78,829.27,3,629|630|631,A,5.0,40112,0.1295,12.25,Y,실적
동대입구,서울,3호선,1,37.55816,127.005273,1364.25,1055.1,1,49,C,2.0,9476,0.1417,10.67,Y,실적
동두천,경기,1호선,1,37.927569,127.054825,,,0,,E,1.0,1566,0.0971,,,실적
동두천중앙,경기,1호선,1,37.901818,127.056528,,,0,,D,1.5,2852,0.0982,,,실적
동막,인천,인천지하철 1호선,1,37.398173,126.673561,333.37,2175.91,1,402,E,1.0,,,,,
동묘앞,서울,1호선|6호선,2,37.57277,127.016062,1485.76,741.09,1,562,B,3.0,21701,0.1011,7.07,,실적
동백,경기,에버라인,1,37.269101,127.152691,1875.49,2401.84,1,283,E,1.0,,,,,
동수,인천,인천지하철 1호선,1,37.485409,126.718464,311.66,1693.49,1,393,C,2.0,14265,0.1837,2.64,,실적
동암,인천,1호선,1,37.470835,126.703016,224.02,1699.86,1,454,C,2.0,14392,0.1262,,,실적
동오,경기,의정부,1,37.745191,127.05703,2064.81,203.11,1,366,C,2.0,8017,0.2219,4.25,,실적
동인천,인천,1호선,1,37.475414,126.632598,224.02,1939.8,1,452,C,2.0,12880,0.1029,,,실적
동작,서울,4호선|9호선,2,37.503222,126.979224,1245.92,1463.02,1,622,D,1.5,3549,0.1097,3.73,,실적
동천,경기,신분당선,1,37.338684,127.102794,1863.84,2229.34,1,194,C,2.0,9892,0.1965,2.59,,실적
동춘,인천,인천지하철 1호선,1,37.404676,126.680835,333.37,2145.45,1,401,E,1.0,,,,,
둔전,경기,에버라인,1,37.267212,127.213639,2289.5,2401.84,1,291,E,1.0,,,,,
둔촌동,서울,5호선,1,37.527787,127.136219,1995.92,1486.83,1,137,C,2.0,13173,0.1229,3.42,,실적
둔촌오륜,서울,9호선,1,37.519339,127.138619,2052.16,1534.69,1,85,D,1.5,4504,0.1775,3.1,,실적
등촌,서울,9호선,1,37.551111,126.864722,572.14,1167.2,1,106,C,2.0,12320,0.1676,4.53,,실적
디지털미디어시티,서울,6호선|경의중앙선|인천국제공항선,3,37.577441,126.89903,653.51,971.35,3,568|569|570,A,5.0,29539,0.1506,3.96,,실적
뚝섬,서울,2호선,1,37.54718,127.047413,1733.99,1095.83,1,262,B,3.0,24002,0.1871,9.9,,실적
뚝섬유원지,서울,7호선,1,37.531558,127.066714,,,0,,B,3.0,19557,0.0947,8.1,,실적
마곡,서울,5호선,1,37.562182,126.82693,391.8,1131.81,1,124,B,3.0,16213,0.1509,4.1,,실적
마곡나루,서울,9호선|인천국제공항선,2,37.566268,126.827621,510.1,962.43,1,638,A,5.0,30299,0.1667,4.21,,실적
마두,경기,일산선,1,37.652185,126.777641,402.53,523.1,1,68,D,1.5,7442,0.0847,,,실적
마들,서울,7호선,1,37.664985,127.057701,1892.63,375.18,1,355,C,2.0,12788,0.171,5.35,,실적
마산,경기,김포도시철도,1,37.640606,126.643944,137.3,701.94,1,485,D,1.5,7215,0.1971,3.86,,실적
마석,경기,경춘선,1,37.652328,127.311713,2433.37,589.14,1,330,D,1.5,3922,0.1349,4.14,,실적
마장,서울,5호선,1,37.566066,127.042921,1774.36,972.26,1,132,D,1.5,5710,0.1224,5.21,,실적
마전,인천,인천지하철 2호선,1,37.597756,126.667195,129.99,908.98,1,459,E,1.0,,,,,
마천,서울,5호선,1,37.494972,127.152784,2141.04,1729.41,1,141,D,1.5,6829,0.2031,3.79,,실적
마포,서울,5호선,1,37.539718,126.946043,985.42,1362.52,1,113,C,2.0,14202,0.14,6.96,,실적
마포구청,서울,6호선,1,37.563535,126.903326,678.08,1126.42,1,24,C,2.0,14169,0.132,4.46,,실적
만수,인천,인천지하철 2호선,1,37.454962,126.731764,440.06,1894.34,1,473,C,2.0,7877,0.1435,2.41,,실적
망우,서울,경의중앙선|경춘선,2,37.599638,127.092174,2020.41,706.87,1,559,D,1.5,7421,0.1487,4.22,,실적
망원,서울,6호선,1,37.556031,126.910129,708.4,1156.73,1,23,B,3.0,15951,0.0906,7.62,,실적
망월사,경기,1호선,1,37.710499,127.047361,1873.69,290.42,1,9,D,1.5,7283,0.1296,,,실적
망포,경기,분당선,1,37.245793,127.057367,1465.99,2296.1,1,429,C,2.0,14256,0.1367,,,실적
매교,경기,분당선,1,37.265502,127.015657,1278.69,2296.1,1,426,D,1.5,4917,0.1437,3.13,,실적
매봉,서울,3호선,1,37.487114,127.046907,1562.69,1919.27,1,54,C,2.0,12171,0.1771,3.49,,실적
매탄권선,경기,분당선,1,37.252458,127.040824,1403.56,2296.1,1,428,D,1.5,5155,0.1496,,,실적
먹골,서울,7호선,1,37.610638,127.077719,1925.12,626.98,1,302,C,2.0,10029,0.1424,4.66,,실적
면목,서울,7호선,1,37.588671,127.087503,1925.12,803.69,1,186,C,2.0,13790,0.1628,2.48,,실적
명동,서울,4호선,1,37.561055,126.988271,1245.92,1004.56,1,73,A,5.0,37830,0.1276,16.91,Y,실적
명일,서울,5호선,1,37.551317,127.144002,2105.03,1256.82,1,144,D,1.5,7862,0.1309,2.66,,실적
명지대,경기,에버라인,1,37.238076,127.190291,2060.46,2401.84,1,286,E,1.0,582,0.2183,,,실적
명학,경기,1호선,1,37.384435,126.935579,909.98,2022.79,1,221,D,1.5,7445,0.1504,2.41,,실적
모란,경기,8호선|분당선,2,37.433006,127.129492,2011.36,2030.57,1,656,B,3.0,24002,0.1026,3.31,,실적
모래내시장,인천,인천지하철 2호선,1,37.455842,126.719578,440.06,1857.21,1,472,D,1.5,6920,0.1449,2.41,,실적
목동,서울,5호선,1,37.526088,126.864296,641.07,1381.29,1,119,B,3.0,15618,0.1447,3.43,,실적
몽촌토성,서울,8호선,1,37.517692,127.11274,1849.65,1399.14,1,87,C,2.0,8304,0.1106,4.4,,실적
무악재,서울,3호선,1,37.582658,126.950131,1091.71,590.45,1,63,D,1.5,4049,0.1558,3.05,,실적
문래,서울,2호선,1,37.517993,126.894766,796.41,1566.02,1,247,B,3.0,21700,0.1684,4.48,,실적
문산,경기,경의중앙선,1,37.854565,126.787531,178.35,289.23,1,383,D,1.5,5590,0.0987,5.63,,실적
문정,서울,8호선,1,37.485931,127.122473,1955.45,1848.26,1,95,B,3.0,21287,0.2107,3.14,,실적
문학경기장,인천,인천지하철 1호선,1,37.434964,126.698373,333.37,1983.04,1,398,C,2.0,9222,0.1419,2.41,,실적
미금,경기,분당선|신분당선,2,37.350631,127.108927,1928.67,2214.61,1,661,C,2.0,14498,0.09,2.59,,실적
미사,서울,5호선,1,37.56329,127.192954,2236.37,1125.48,1,147,B,3.0,17772,0.1302,,,실적
미아,서울,4호선,1,37.626435,127.026151,1608.34,493.16,1,347,C,2.0,15135,0.1128,2.32,,실적
미아사거리,서울,4호선,1,37.613276,127.030083,1568.15,533.34,1,346,B,3.0,25458,0.1236,2.06,,실적
박촌,인천,인천지하철 1호선,1,37.553525,126.744946,236.79,1126.98,1,390,C,2.0,9510,0.1919,4.33,,실적
반월,경기,안산과천선,1,37.312244,126.903684,933.47,2216.41,1,47,D,1.5,4157,0.1496,,,실적
반포,서울,7호선,1,37.508171,127.011717,1470.9,1557.54,1,178,D,1.5,6710,0.0975,4.82,,실적
발곡,경기,의정부,1,37.726983,127.052889,1927.78,279.06,1,360,D,1.5,7160,0.2248,4.25,,실적
발산,서울,5호선,1,37.562182,126.82693,432.84,1173.27,1,123,B,3.0,23024,0.1391,4.13,,실적
방배,서울,2호선,1,37.481469,126.997627,1333.78,1866.45,1,253,B,3.0,14703,0.1249,3.06,,실적
방이,서울,5호선,1,37.508752,127.126054,1995.92,1662.69,1,138,D,1.5,7441,0.0906,,,실적
방학,서울,1호선,1,37.667471,127.044295,1783.51,380.6,1,7,C,2.0,9595,0.1162,4.34,,실적
방화,서울,5호선,1,37.577669,126.812822,372.83,832.52,1,127,D,1.5,6919,0.1321,12.38,,실적
백마,경기,경의중앙선|서해선,2,37.658346,126.794401,515.22,427.29,1,600,D,1.5,7041,0.1761,2.87,,실적
백석,경기,일산선,1,37.642973,126.788109,450.63,522.84,1,69,C,2.0,9769,0.0847,,,실적
백운,인천,1호선,1,37.483301,126.707179,224.02,1668.76,1,453,D,1.5,6629,0.1393,,,실적
버티고개,서울,6호선,1,37.547933,127.006948,1372.52,1184.03,1,18,E,1.0,2144,0.1123,6.77,,실적
범계,경기,안산과천선,1,37.389783,126.950752,1021.1,2066.45,1,43,A,5.0,27317,0.127,2.21,,실적
범골,경기,의정부,1,37.728728,127.04372,1888.22,239.5,1,361,E,1.0,,,,,
