id,x,y,r,환승,역명,색목록
180,1683.5,1345.37,2.9,N,청담,#69702e
181,1742.22,1286.94,2.9,N,자양,#69702e
182,1885.58,1143.29,2.9,N,어린이대공원,#69702e
183,1925.12,926.72,2.9,N,중곡,#69702e
184,1925.12,885.71,2.9,N,용마산,#69702e
185,1925.12,844.7,2.9,N,사가정,#69702e
186,1925.12,803.69,2.9,N,면목,#69702e
187,1543.76,1986.28,2.9,N,양재시민의숲,#c12c30
188,1596.18,2038.34,2.9,N,청계산입구,#c12c30
189,1537.88,2229.32,2.9,N,광교중앙,#c12c30
190,1454.1,2229.26,2.9,N,광교,#c12c30
191,1619.94,2229.34,2.9,N,상현,#c12c30
192,1696.34,2229.34,2.9,N,성복,#c12c30
193,1783.89,2229.34,2.9,N,수지구청,#c12c30
194,1863.84,2229.34,2.9,N,동천,#c12c30
195,1215.12,1213.37,2.9,N,남영,#004b84
196,887.71,1580.67,2.9,N,영등포,#004b84
197,744.74,1642.22,2.9,N,구일,#004b84
198,707.38,1642.22,2.9,N,개봉,#004b84
199,673.38,1642.22,2.9,N,오류동,#004b84
200,583.35,1642.22,2.9,N,역곡,#004b84
201,547.7,1724.49,2.9,N,소새울,#4da635
202,432.92,1374.07,2.9,N,원종,#4da635
203,547.69,1886.87,2.9,N,시흥대야,#4da635
204,547.69,1975.37,2.9,N,신천,#4da635
205,591.24,2036.6,2.9,N,신현,#4da635
206,630.92,2076.32,2.9,N,시흥시청,#4da635
207,670.6,2116.04,2.9,N,시흥능곡,#4da635
208,723.18,2362.51,2.9,N,시우,#4da635
209,790.75,2382.61,2.9,N,원시,#4da635
210,710.28,2155.76,2.9,N,달미,#4da635
211,723.18,2201.12,2.9,N,선부,#4da635
212,484.9,1642.22,2.9,N,부천,#004b84
213,427.66,1642.22,2.9,N,중동,#004b84
214,371.16,1642.22,2.9,N,송내,#004b84
215,312.65,1642.22,2.9,N,부개,#004b84
216,773.88,1784.45,2.9,N,독산,#004b84
217,720.84,1832.91,2.9,N,,#9a958c
218,795.17,1907.98,2.9,N,석수,#004b84
219,833.44,1946.25,2.9,N,관악,#004b84
220,871.71,1984.52,2.9,N,안양,#004b84
221,909.98,2022.79,2.9,N,명학,#004b84
222,1016.01,2128.79,2.9,N,군포,#004b84
223,1048.65,2161.44,2.9,N,당정,#004b84
224,1081.3,2194.09,2.9,N,의왕,#004b84
225,1113.94,2226.74,2.9,N,성균관대,#004b84
226,1146.58,2259.39,2.9,N,화서,#004b84
227,1158.79,2334.6,2.9,N,세류,#004b84
228,1077.27,2416.12,2.9,N,오산대,#004b84
229,1101.26,2392.13,2.9,N,세마,#004b84
230,1053.28,2440.11,2.9,N,오산,#004b84
231,1047.83,793.25,2.9,N,종각,#004b84
232,1268.64,746.48,2.9,N,종로5가,#004b84
233,1469.22,298.05,2.9,N,북한산우이,#bacc00
234,1469.22,329.52,2.9,N,솔밭공원,#bacc00
235,1469.22,360.98,2.9,N,4.19민주묘지,#bacc00
236,1469.22,392.44,2.9,N,가오리,#bacc00
237,1469.22,423.91,2.9,N,화계,#bacc00
238,1469.22,455.37,2.9,N,삼양,#bacc00
239,1469.22,486.84,2.9,N,삼양사거리,#bacc00
240,1469.22,518.3,2.9,N,솔샘,#bacc00
241,1469.22,549.76,2.9,N,북한산보국문,#bacc00
242,1469.22,581.23,2.9,N,정릉,#bacc00
243,1105.46,847.41,2.9,N,을지로입구,#00a23f
244,918.74,956.68,2.9,N,아현,#00a23f
245,866.49,1011.7,2.9,N,이대,#00a23f
246,831.29,1061.36,2.9,N,신촌,#00a23f
247,796.41,1566.02,2.9,N,문래,#00a23f
248,931.43,1744.25,2.9,N,구로디지털단지,#00a23f
249,971.93,1775.08,2.9,N,신대방,#00a23f
250,1059.71,1825.04,2.9,N,봉천,#00a23f
251,1113.44,1846.43,2.9,N,서울대입구,#00a23f
252,1186.49,1863.3,2.9,N,낙성대,#00a23f
253,1333.78,1866.45,2.9,N,방배,#00a23f
254,1382.12,1858.39,2.9,N,서초,#00a23f
255,1561.19,1783.1,2.9,N,역삼,#00a23f
256,1678.84,1677.52,2.9,N,삼성,#00a23f
257,1772.05,1505.54,2.9,N,잠실새내,#00a23f
258,1794.07,1402.0,2.9,N,잠실나루,#00a23f
259,1796.86,1332.19,2.9,N,강변,#00a23f
260,1794.62,1284.03,2.9,N,구의,#00a23f
261,1706.63,1049.75,2.9,N,한양대,#00a23f
262,1733.99,1095.83,2.9,N,뚝섬,#00a23f
263,731.52,1554.32,2.9,N,신정네거리,#00a23f
264,681.1,1503.78,2.9,N,양천구청,#00a23f
265,598.4,1420.86,2.9,N,도림천,#00a23f
266,1746.92,936.11,2.9,N,신답,#00a23f
267,1654.06,843.1,2.9,N,용두,#00a23f
268,1847.6,1068.57,2.9,N,성수,#00a23f
269,1648.39,746.49,2.9,N,제기동,#004b84
270,2099.97,2097.71,2.9,N,삼동,#1d2f63
271,2167.34,2097.71,2.9,N,경기광주,#1d2f63
272,2220.91,2134.42,2.9,N,초월,#1d2f63
273,2262.14,2175.63,2.9,N,곤지암,#1d2f63
274,2303.38,2216.84,2.9,N,신둔도예촌,#1d2f63
275,2344.61,2258.05,2.9,N,이천,#1d2f63
276,2385.85,2299.27,2.9,N,부발,#1d2f63
277,2425.34,2338.73,2.9,N,세종대왕릉,#1d2f63
278,2466.58,2379.95,2.9,N,여주,#1d2f63
279,1753.31,2347.5,2.9,N,강남대,#71b22d
280,1783.56,2377.74,2.9,N,지석,#71b22d
281,1827.74,2401.84,2.9,N,어정,#71b22d
282,1923.04,2401.84,2.9,N,초당,#71b22d
283,1875.49,2401.84,2.9,N,동백,#71b22d
284,1968.85,2401.84,2.9,N,삼가,#71b22d
285,2014.66,2401.84,2.9,N,시청·용인대,#71b22d
286,2060.46,2401.84,2.9,N,명지대,#71b22d
287,2106.27,2401.84,2.9,N,김량장,#71b22d
288,2152.08,2401.84,2.9,N,용인중앙시장,#71b22d
289,2197.89,2401.84,2.9,N,고진,#71b22d
290,2243.69,2401.84,2.9,N,보평,#71b22d
291,2289.5,2401.84,2.9,N,둔전,#71b22d
292,2335.31,2401.84,2.9,N,전대·에버랜드,#71b22d
293,888.63,1191.12,2.9,N,서강대,#6bc2b3
294,1345.69,1336.26,2.9,N,서빙고,#6bc2b3
295,1389.66,1331.34,2.9,N,한남,#6bc2b3
296,1501.38,1219.55,2.9,N,응봉,#6bc2b3
297,1549.1,665.46,2.9,N,안암,#713b1d
298,1572.22,642.34,2.9,N,고려대,#713b1d
299,1593.99,620.58,2.9,N,,#713b1d
300,1664.1,585.44,2.9,N,월곡,#713b1d
301,1721.33,585.44,2.9,N,상월곡,#713b1d
302,1925.12,626.98,2.9,N,먹골,#69702e
303,1925.12,655.72,2.9,N,중화,#69702e
304,1757.45,658.42,2.9,N,외대앞,#004b84
